"idx","calories","carb","category","cholesterol","content","fat","img","n_size","name","protein","sat_fat","size","sodium","sugar","trans_fat","where"
"1668","kcal","mg","냉장/냉동식품 > 냉장면류","mg","지하130m의 암반수를 사용하여 가늘고 쫄깃하게 뽑아낸 면발","g","https://ottogi.co.kr/pds/product/2017-05-08_1064557516[9].jpg","","FRESH HANDMADE WHEAT NOODLE","g","g","600g(Serves4)","g","g","g",""
"2221","400kcal","""1,470mg""","라면류 > 오라면","0mg","라면의 본질을 추구하다!오뚜기 오!라면1. 국물과 어울림성을 극대화한 쫄깃한 면발!감자전분을 넣어 부드럽고 쫄깃한 식감에 야채엑기스를 적용하여 국물과 어울림성 UP!2. 진~하게 우려낸 쇠고기 육수!사태와 양지를 푹 우려내어 진~한 쇠고기 육수에 풍부한 양념맛과 감칠맛의 조화!3. 어떤 재료와도 잘 어울리는 맛!다른 부재료들과 특히 잘 어울리도록 개발한 국물맛!","14g","https://ottogi.co.kr/pds/product/2021-12-28_141411388[1].jpg","1회 제공량 1개(90g)함량","오라면 컵","3g","0g","90g","9g","59g","7g","""면:소맥분(밀:호주산,미국산),변성전분,팜유(말레이시아산),정제소금,글루텐,기타 식용유지가공품,난각분말,면류첨가알카리제(산도조절제),양파엑기스,조미마늘엑기스,야채풍미액,비타민B2,녹차풍미유*스프류:설탕,조미육수분말[아미노산원액(탈지대두:인도산),옥수수가루(외국산:호주,브라질,인도 등)],효모추출조미분말,참맛장조림분말,양파시즈닝분말,포도당,진한감칠맛분,정제소금,로스팅양파분말,양지사태조미분말,육수맛조미분,후추분말,기타 식용유지가공품,칠리맛분말,혼합제제(효모추출물,해바라기유),영양강화제,향미증진제,고춧가루,칠리추출물,건미역,계란후레이크"""
"1168","51kcal","10410mg","조미소스/식품 > 시럽","0mg","""1. 참치를 숙성시켜 만든 간장 원액에 다시마엑기스와 표고버섯엑기스 등으로 맛을 내어 깊고 시원한 맛이 배어있습니다.  2. 태평양 다랑어가 24.12% 함유되어 있으며, 자연숙성공법으로 숙성시켜 필수아미노산이 다량(양조간장의 130%) 함유되어 있습니다.  3. 기존 간장보다 맛이 진해 2/3만큼 사용해도 깊은 맛을 낼 수 있습니다.""","0g","https://ottogi.co.kr/pds/product/ganjang.jpg","""Per 100ml, 5 servings (Ottogi Estimate)""","SEAFOOD SOY SAUCE","2g","0g","""500ml, 900ml, 1.8L""","7g","5g","0g",""
"2381","95kcal","100mg","냉장/냉동식품 > 낫또","0mg","100% 제주도산 콩과 감귤을 사용한 낫또입니다.낫또는 삶은 콩을 발효시켜 만든 일본 전통 발효식품으로 미국 건강전문지(헬스)에 소개 된 세계 5대 건강식품입니다.","2.9g","https://ottogi.co.kr/pds/product/2022-04-19_771728590[17].jpg","57G","제주콩으로 만든 생감귤낫또","1g","0g","171G","9g","8g","0.5g","""낫또87%[대두100%(국산:제주도산)],가쓰오조미소스[과당,미향{레몬식초(레몬농축과즙:이스라엘산)},정제수,양조간장(탈지대두:외국산),다시마엑기스,가쓰오부시농축액,가쓰오엑기스,L-글루탐산나트륨(향미증진제),정제소금,맛베이스,글리신,효모추출물,향미증진제,구연산,영양강화제],제주감귤소스5%[온주밀감과피(국산:제주도산),설탕,마루메루밀감(국산:제주도산),온주밀감과즙(국산:제주도산),유자청,과당,유자액,벌꿀,구연산,잔탄검,레이지레몬주스]"""
"1274","kcal","mg","향신료류 > 후추","mg","""Mixed pepper (Black pepper and white pepper) and Himalayan salt are ground together in whole, to preserve the original taste of salt and pepper.""","g","https://ottogi.co.kr/pds/product/2017-05-17_484367826[8].jpg","","COLOR PEPPER SALT","g","g","60g","g","g","g","""HIMALAYAN SALT 60%(PAKISTAN),BLACK PEPPER 30%(IMPORTED:VIETNAM,MALYASIA,INDONESIA),WHITE PEPPER 10%(VIETNAM)"""
"2209","205kcal","830mg","레토르트/간편식 > 3분","25mg","""크래프트 Craft [1.기술 2.공들여 만들다]1981년 시작된 3분 요리의 오랜 역사. 수많은 시간으로 빚어낸 장인(匠人) 정신.오뚜기가 공들여 쌓아온 기술력과 정성으로 짜장 본연에 충실한 맛을 선사합니다.국산 돼지고기와 풍미를 돋우는 파기름, 양파와 양배추로 정성스럽게 만든 고급짜장입니다.크래프트 짜장은 짜장 소스를 한번에 섞지 않고 밥과 함께 떠서 드시면 더욱 맛있게 즐기실 수 있습니다.""","11g","https://ottogi.co.kr/pds/product/2021-03-10_936653330[3].jpg","200g","크래프트 짜장 200g","14g","0g","200g","9g","17g","1.8g","""정제수, 돼지고기(국산), 양파(국산), 춘장{춘장용된장[소맥분(밀:미국산, 호주산)], 카라멜색소Ⅲ, 주정, 정제소금(국산), 복합조미식품}, 양배추(국산), 파, 카놀라유, 변성전분, 설탕, 양파맛분말, 복합양념, 난각분말, L-글루탐산나트륨(향미증진제), 향미증진제, 덱스트린"""
"2278","110kcal","0mg","곡류가공식품 > 누룽지","0mg","""밥알이 살아있는 구수한 코리안씨리얼한 번에 먹을 수 있고, 휴대가 간편한 1인분 포장 크리에이티브 그룹 ‘모빌스그룹’과의 콜라보 제품제품의 기획부터 탄생까지의 전 과정을 유튜브 'MoTV'를 통해 공개(https://youtu.be/InRs7AmB3JM)""","0g","https://ottogi.co.kr/pds/product/2021-04-28_1020195220[10].PNG","1개(30g)당","밥플레이크(스틱)","0g","0g","300g (30gx10)","2g","25g","0g","쌀100%(외국산)"
"2366","340kcal","1530mg","면류 > 국수","0mg","""- 깔끔하고 쫄깃한 면발- 다가수 숙성제면법으로 면발이 쫄깃하면서도 부드러우며, 잘 퍼지지 않습니다.- 조리법 대로 삶아 헹궈드시면 나트륨 함량이 줄어듭니다.""","3g","https://ottogi.co.kr/pds/product/2022-03-21_1009000861[3].png","","옛날 국수 소면","7g","0g","""320G, 500G, 700G, 900G, 1.2KG, 1.5KG, 1.65KG, 2.5KG, 3KG, 10KG""","9g","69g","1g","""밀가루(밀: 호주산, 미국산), 정제소금(국산)"""
"566","305kcal","10mg","곡류가공식품 > 오뚜기밥","0mg","""1. 강황의 주요 성분인 커큐민이 첨가되어 맛과 영양을 동시에 충족시켜줄 수 있습니다.2. 커큐민(10mg/210g 기준)이 들어있는 밥으로써, 노란색을 띄는 즉석밥입니다.3. 강황추출분말을 사용하여 강황 고유의 향과 쓴맛이 나지 않아 취식하는데 거부감이 없습니다.4. 오뚜기 강황밥을 포함한 오뚜기밥 전 제품은 지하 150m 암반수를 사용하여 밥을 짓습니다.""","1g","https://ottogi.co.kr/pds/product/img6_big.jpg","1회 제공량 210g 당 함량","맛있는 오뚜기 강황밥","0g","0g","210g","6g","68g","0g",""
"2416","kcal","mg","농/축/수산식품 > 계란","mg","Cage Free로 자유롭고 행복한 닭이 낳아 건강하고 영양이 풍부한 계란","g","https://ottogi.co.kr/pds/product/2022-08-03_281116838[1].jpg","","동물복지유정란","g","g","780G","g","g","g","국산"
